Type,Analog,Analog,Analog,Analog,Analog,Analog,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital
Index,1,5,2,53,3,58,41,42,43,44,45,46,49,50
Name,R1,R9,R2,R2 Solltemperatur,R3,R3 Solltemperatur,M1,M3,M2/M11,E10,M13,M18,M16,E9
Description,Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Variable 8,Variable 9,Variable 10,Variable 11,Variable 12,Variable 13,Variable 14
2025/01/13 10:59:22,-3.2,32.2,30.6,30.0,43.7,50.0,0,0,0,0,1,0,0,0
2025/01/13 10:59:52,-3.2,31.6,30.8,30.0,43.7,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:00:20,-3.2,30.9,30.3,30.0,43.7,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:00:50,-3.2,30.6,30.1,30.0,43.7,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:01:17,-3.1,30.3,29.9,30.0,43.7,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:01:47,-3.1,30.1,29.8,30.0,43.7,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:02:12,-3.1,30.1,29.8,30.0,43.6,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:02:42,-3.1,30.0,29.7,30.0,43.6,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:03:09,-3.1,29.9,29.6,30.0,43.6,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:03:39,-3.1,29.9,29.6,30.0,43.6,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:04:06,-3.1,29.8,29.5,30.0,43.6,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:04:36,-3.1,29.8,29.5,30.0,43.6,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:05:06,-3.1,29.8,29.4,30.0,43.6,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:05:36,-3.0,29.7,29.4,30.0,43.5,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:06:03,-3.0,29.6,29.3,30.0,43.5,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:06:33,-3.0,29.6,29.3,30.0,43.5,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:07:01,-3.0,29.5,29.2,30.0,43.5,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:07:31,-3.0,29.4,29.1,30.0,43.5,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:08:00,-3.0,29.4,29.1,30.0,43.5,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:08:30,-3.0,29.3,29.1,30.0,43.5,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:09:00,-3.0,29.3,29.0,30.0,43.5,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:09:27,-3.0,29.3,29.0,30.0,43.4,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:09:57,-2.9,29.2,29.0,30.0,43.4,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:10:24,-2.9,29.2,28.9,30.0,43.4,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:10:54,-2.9,29.2,28.9,30.0,43.4,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:11:22,-2.9,29.1,28.9,30.0,43.4,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:11:52,-2.9,29.1,28.8,30.0,43.4,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:12:19,-2.9,29.1,28.8,29.9,43.4,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:12:49,-2.9,29.0,28.8,29.9,43.4,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:13:16,-2.9,29.0,28.7,29.9,43.4,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:13:46,-2.9,29.0,28.7,29.9,43.3,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:14:12,-2.9,28.9,28.7,30.0,43.3,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:14:42,-2.9,28.9,28.6,30.0,43.3,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:15:10,-2.9,28.9,28.6,30.0,43.3,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:15:40,-2.8,28.8,28.6,30.0,43.3,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:16:09,-2.8,28.8,28.5,30.0,43.3,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:16:39,-2.8,28.8,28.5,30.0,43.3,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:17:08,-2.8,28.7,28.4,30.0,43.2,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:17:38,-2.8,28.7,28.4,30.0,43.2,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:18:07,-2.8,28.6,28.4,30.0,43.2,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:18:37,-2.8,28.6,28.3,30.0,43.2,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:20:04,-2.8,28.6,28.3,30.0,43.2,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:20:34,-2.8,28.5,28.2,30.0,43.2,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:21:00,-2.8,28.5,28.2,30.0,43.2,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:21:30,-2.8,28.5,28.2,30.0,43.2,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:22:00,-2.8,28.4,28.1,30.0,43.2,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:22:27,-2.8,28.4,28.1,30.0,43.1,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:22:57,-2.8,28.4,28.1,30.0,43.1,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:23:23,-2.8,28.3,28.0,30.0,43.1,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:23:53,-2.7,28.3,28.0,30.0,43.1,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:28:07,0.0,27.8,27.5,29.8,42.9,50.0,0,0,0,0,1,0,0,0
2025/01/13 11:28:37,-2.7,27.9,27.7,30.0,42.9,50.0,0,0,0,0,0,0,0,0
2025/01/13 11:30:05,-2.7,28.0,27.7,30.0,42.9,50.0,0,0,0,0,0,0,0,0
2025/01/13 11:30:35,-2.6,28.0,27.7,30.0,42.9,50.0,0,0,0,0,0,0,0,0
2025/01/13 11:31:03,-2.6,28.0,27.7,30.0,42.9,50.0,0,0,0,0,0,0,0,0
2025/01/13 11:31:33,-2.6,27.9,27.7,30.0,42.9,50.0,0,0,1,0,0,1,1,0
2025/01/13 11:32:03,-2.6,27.9,27.7,30.0,42.9,50.0,0,0,1,0,0,1,1,0
2025/01/13 11:32:33,-2.6,27.9,27.7,30.0,42.9,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:33:02,-2.6,31.5,27.6,30.0,42.9,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:33:32,-2.6,32.6,27.6,30.0,42.9,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:34:02,-2.6,33.1,25.5,30.0,42.8,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:34:32,-2.6,34.7,35.5,30.0,42.8,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:35:00,-2.6,43.3,39.8,30.0,42.8,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:35:30,-2.6,45.2,39.7,30.0,42.8,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:36:00,-2.5,44.1,37.6,30.0,42.7,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:36:27,-2.5,43.1,37.6,30.0,42.6,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:36:57,-2.5,44.2,39.4,30.0,42.5,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:37:27,-2.5,46.0,40.5,30.0,42.4,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:37:57,-2.5,47.2,40.6,30.0,42.4,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:38:26,-2.5,47.6,40.3,30.0,42.3,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:38:56,-2.5,48.2,40.5,30.0,42.3,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:39:24,-2.5,49.0,41.2,30.0,42.3,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:39:54,-2.5,49.6,41.8,30.0,42.3,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:40:23,-2.5,50.3,42.1,30.0,42.3,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:40:53,-2.4,50.5,42.4,30.0,42.3,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:41:22,-2.4,50.9,42.8,30.0,42.3,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:41:52,-2.4,51.3,43.1,30.0,42.4,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:42:20,-2.4,51.8,43.4,30.0,42.5,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:42:50,-2.4,52.1,43.7,30.0,42.7,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:43:20,-2.4,52.4,43.9,30.0,42.8,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:43:50,-2.4,52.8,44.1,30.0,43.0,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:44:17,-2.4,53.1,44.4,30.0,43.2,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:44:47,-2.4,53.3,44.6,30.0,43.4,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:45:16,-2.4,53.6,44.8,30.0,43.5,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:45:46,-2.3,53.8,45.1,30.0,43.7,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:46:14,-2.3,54.1,45.3,30.0,43.9,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:46:44,-2.3,54.3,45.6,30.0,44.2,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:47:10,-2.3,54.5,45.8,30.0,44.4,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:47:40,-2.3,54.7,46.1,30.0,44.6,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:48:10,-2.3,54.9,46.3,30.0,44.7,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:48:40,-2.3,55.1,46.5,30.0,44.9,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:49:09,-2.3,55.3,46.7,30.0,45.2,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:49:39,-2.3,55.6,46.9,30.0,45.4,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:50:06,-2.2,55.8,47.1,30.0,45.6,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:50:36,-2.2,55.9,47.3,30.0,45.8,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:51:06,-2.2,56.1,47.5,30.0,46.0,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:51:36,-2.2,56.3,47.7,30.0,46.2,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:52:05,-2.2,56.5,47.9,30.0,46.3,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:52:35,-2.2,56.7,48.1,30.0,46.4,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:53:04,-2.2,56.8,48.3,30.0,46.6,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:53:34,-2.2,57.0,48.5,30.0,46.8,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:54:02,-2.1,57.1,48.6,30.0,46.9,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:54:32,-2.1,57.3,48.8,30.0,47.1,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:55:02,-2.1,57.4,49.0,30.0,47.2,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:55:28,-2.1,57.6,49.1,30.0,47.4,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:55:58,-2.1,57.7,49.3,30.0,47.7,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:56:26,-2.1,57.9,49.4,30.0,47.9,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:56:56,-2.1,58.0,49.6,30.0,48.1,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:57:23,-2.1,58.2,49.8,30.0,48.2,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:57:53,-2.1,58.3,49.9,30.0,48.4,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:58:23,-2.1,58.5,50.1,30.0,48.6,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:58:53,-2.1,58.7,50.3,30.0,48.8,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:59:20,-2.0,58.8,50.5,30.0,48.9,50.0,1,0,1,0,0,1,1,0
2025/01/13 11:59:50,-2.0,58.9,50.6,30.0,49.1,50.0,1,0,1,0,0,1,1,0
2025/01/13 12:00:17,-2.0,59.1,50.8,30.0,49.2,50.0,1,0,1,0,0,1,1,0
2025/01/13 12:00:47,-2.0,59.2,51.0,30.0,49.3,50.0,1,0,1,0,0,1,1,0
2025/01/13 12:01:15,-2.0,59.3,51.2,30.0,49.5,50.0,1,0,1,0,0,1,1,0
2025/01/13 12:01:45,-2.0,59.5,51.4,30.0,49.7,50.0,1,0,1,0,0,1,1,0
2025/01/13 12:02:14,-2.0,59.6,51.6,30.0,49.8,50.0,1,0,1,0,0,1,1,0
2025/01/13 12:02:44,-2.0,59.3,51.7,30.0,50.0,50.0,0,0,1,0,1,1,1,0
2025/01/13 12:03:13,-2.0,44.0,35.0,30.0,50.2,50.0,0,0,1,0,1,0,0,0
2025/01/13 12:03:43,-2.0,32.4,30.6,30.0,50.3,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:04:12,-2.0,30.1,29.4,30.0,50.4,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:04:42,-2.0,29.8,29.7,30.0,50.5,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:05:09,-1.9,29.9,29.4,30.0,50.6,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:05:39,-1.9,29.3,28.9,30.0,50.6,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:06:08,-1.9,29.1,28.9,30.0,50.6,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:06:38,-1.9,29.2,29.0,30.0,50.7,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:08:07,-1.9,29.1,28.8,30.0,50.7,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:08:37,-1.9,28.8,28.5,30.0,50.7,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:09:06,-1.9,28.7,28.5,30.0,50.7,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:09:36,-1.9,28.6,28.3,30.0,50.7,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:10:03,-1.9,28.5,28.3,30.0,50.7,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:10:33,-1.9,28.5,28.3,30.0,50.7,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:11:02,-1.9,28.5,28.2,30.0,50.6,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:11:32,-1.9,28.3,28.1,30.0,50.6,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:12:00,-1.9,28.2,27.9,30.0,50.6,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:12:30,-1.8,28.1,27.8,30.0,50.6,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:13:00,-1.8,28.0,27.7,30.0,50.5,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:13:27,-1.8,27.9,27.6,30.0,50.5,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:13:57,-1.8,27.8,27.6,30.0,50.4,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:14:26,-1.8,27.7,27.5,30.0,50.4,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:14:56,-1.8,27.6,27.4,30.0,50.4,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:15:22,-1.8,27.6,27.3,30.0,50.3,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:15:52,-1.8,27.5,27.3,30.0,50.3,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:16:22,-1.8,27.4,27.2,30.0,50.3,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:16:52,-1.8,27.3,27.1,30.0,50.2,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:17:18,-1.8,27.2,27.1,30.0,50.2,50.0,0,0,0,0,1,0,0,0
2025/01/13 12:17:48,-1.8,27.2,27.0,30.0,50.2,50.0,0,0,0,0,1,0,1,0
