Type,Analog,Analog,Analog,Analog,Analog,Analog,Digital,Digital,Digital,Digital,Digital,Digital,Integer,Integer,Integer,Integer,Integer,Integer,Digital,Digital
Index,1,5,2,53,3,58,41,42,43,45,46,96,97,98,99,100,101,102,103,104
Name,Außentemp,Vorlauftemp,Rücklauftemp,Rücklauf Solltemperatur,Warmwasser,R3 Solltemperatur,Verdichter,Verdichter2,Primärpumpe,Heizungspumpe,Warmwasserpumpe,WMenge heizen,Wärmemenge heizen5-8,Wärmemenge heizen5-12,Wärmemenge Warnw1-4,Wärmemenge Warmwasser5-8,Wärmemenge Warmwasser9-12,Wärmemenge Schwimmbad1,Schwimmbad2,Schwimmbad3
Description,Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Variable 8,Variable 9,Variable 10,Variable 11,Variable 12,Variable 13,Variable 14,Variable 15,Variable 16,Variable 17,Variable 18,Variable 19,Variable 20
2025/01/24 00:00:35,2.4,26.4,26.1,27.1,41.2,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:01:04,2.4,26.3,26.0,27.1,41.1,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:01:34,2.4,26.3,26.0,27.1,41.1,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:02:03,2.4,26.3,26.0,27.1,41.1,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:02:33,2.4,26.3,26.0,27.1,41.1,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:03:03,2.4,26.2,25.9,27.1,41.1,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:03:28,2.4,26.2,25.9,27.1,41.1,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:03:58,2.4,26.2,25.9,27.1,41.1,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:04:24,2.4,26.2,25.9,27.1,41.1,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:04:54,2.4,26.1,25.8,27.1,41.1,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:05:20,2.4,26.1,25.8,27.1,41.1,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:05:50,2.4,26.1,25.8,27.0,41.1,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:06:18,2.5,26.1,25.8,27.0,41.1,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:06:48,2.5,26.0,25.8,27.1,41.1,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:07:15,2.5,26.0,25.7,27.1,41.1,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:07:45,2.5,26.0,25.7,27.0,41.1,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:08:14,2.5,26.0,25.7,27.0,41.1,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:08:44,2.5,26.0,25.7,27.0,41.0,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:09:10,2.5,25.9,25.6,27.0,41.0,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:09:40,2.5,25.9,25.6,27.0,41.0,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:10:05,2.5,25.9,25.6,27.0,41.0,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:10:35,2.5,25.9,25.6,27.0,41.0,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:12:03,2.5,25.9,25.6,27.0,41.0,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:12:33,2.5,25.9,25.5,27.0,41.0,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:13:00,2.5,25.8,25.5,27.0,41.0,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:13:30,2.5,25.8,25.5,27.0,41.0,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:14:00,2.5,25.8,25.5,27.0,41.0,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:14:28,2.5,25.8,25.5,27.0,40.9,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:14:58,2.5,25.8,25.5,27.0,40.9,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:15:25,2.5,25.7,25.4,27.0,40.9,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:15:55,2.5,25.7,25.4,27.0,40.9,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:16:20,2.5,25.7,25.4,26.9,40.9,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:16:50,2.5,25.7,25.4,26.9,40.9,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:17:18,2.5,25.7,25.4,26.9,40.9,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:17:48,2.5,25.6,25.4,26.9,40.9,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:18:16,2.5,25.6,25.3,26.9,40.8,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:18:46,2.5,25.6,25.3,26.9,40.8,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:19:14,2.5,25.6,25.3,26.9,40.8,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:19:44,2.5,25.6,25.3,26.9,40.8,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:20:11,2.5,25.6,25.3,26.9,40.8,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:20:41,2.5,25.5,25.3,26.9,40.8,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:21:06,2.5,25.5,25.2,26.9,40.8,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:21:36,2.5,25.5,25.2,26.9,40.8,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:22:06,2.5,25.5,25.2,26.9,40.8,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:22:36,2.5,25.5,25.2,26.9,40.8,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:23:04,2.5,25.5,25.2,26.9,40.8,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:23:34,2.5,25.5,25.2,26.9,40.8,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:24:01,2.5,25.4,25.1,26.9,40.8,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:24:31,2.5,25.4,25.1,26.9,40.7,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:25:01,2.5,25.4,25.1,26.9,40.7,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:25:29,2.5,25.4,25.1,26.9,40.7,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:25:59,2.5,25.4,25.1,26.8,40.7,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:26:26,2.5,25.4,25.1,26.8,40.7,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:26:56,2.5,25.3,25.0,26.8,40.7,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:27:23,2.5,25.3,25.0,26.8,40.7,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:27:53,2.5,25.3,25.0,26.8,40.7,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:28:19,2.5,25.3,25.0,26.8,40.7,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:28:49,2.5,25.3,25.0,26.8,40.7,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:29:18,2.5,25.3,25.0,26.8,40.7,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:29:48,2.5,25.3,25.0,26.8,40.6,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:30:15,2.5,25.2,25.0,26.8,40.6,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:30:45,2.5,25.2,25.0,26.8,40.6,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:31:13,2.5,25.2,24.9,26.8,40.6,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:31:43,2.5,25.2,24.9,26.8,40.6,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:32:09,2.5,25.2,24.9,26.8,40.6,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:32:39,2.5,25.2,24.9,26.8,40.5,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
2025/01/24 00:33:09,2.5,25.2,24.9,26.8,40.5,10.0,0,0,0,0,1,0,8286,0,0,0,1,1,,
