Type,Analog,Analog,Analog,Analog,Analog,Analog,Digital,Digital,Digital,Digital,Digital,Digital,Integer,Integer,Integer,Integer,Integer,Integer,Digital,Digital
Index,1,5,2,53,3,58,41,42,43,45,46,96,97,98,99,100,101,102,103,104
Name,Außentemp,Vorlauftemp,Rücklauftemp,Rücklauf Solltemperatur,Warmwasser,R3 Solltemperatur,Verdichter,Verdichter2,Primärpumpe,Heizungspumpe,Warmwasserpumpe,WMenge heizen,Wärmemenge heizen5-8,Wärmemenge heizen5-12,Wärmemenge Warnw1-4,Wärmemenge Warmwasser5-8,Wärmemenge Warmwasser9-12,Wärmemenge Schwimmbad1,Schwimmbad2,Schwimmbad3
Description,Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Variable 8,Variable 9,Variable 10,Variable 11,Variable 12,Variable 13,Variable 14,Variable 15,Variable 16,Variable 17,Variable 18,Variable 19,Variable 20
2025/01/26 00:00:40,6.8,24.4,24.2,25.7,44.1,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:02:06,6.8,24.4,24.2,25.7,44.0,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:02:36,6.8,24.4,24.2,25.7,44.0,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:03:04,6.8,24.4,24.2,25.6,44.0,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:03:34,6.8,24.4,24.1,25.6,44.0,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:04:04,6.8,24.4,24.1,25.6,44.0,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:04:34,6.8,24.4,24.1,25.6,44.0,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:05:03,6.8,24.4,24.1,25.6,44.0,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:05:33,6.8,24.4,24.1,25.6,44.0,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:06:03,6.8,24.4,24.1,25.6,44.0,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:06:33,6.8,24.3,24.1,25.6,44.0,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:07:02,6.8,24.3,24.1,25.6,44.0,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:07:32,6.8,24.3,24.1,25.6,44.0,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:08:00,6.8,24.3,24.1,25.6,44.0,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:08:30,6.8,24.3,24.0,25.6,43.9,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:09:00,6.8,24.3,24.0,25.6,43.9,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:09:27,6.8,24.3,24.0,25.6,43.9,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:09:57,6.8,24.3,24.0,25.6,43.9,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:10:23,6.8,24.3,24.0,25.6,43.9,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:10:53,6.8,24.3,24.0,25.6,43.9,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:11:18,6.8,24.2,24.0,25.6,43.9,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:11:48,6.8,24.2,24.0,25.6,43.9,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:12:15,6.8,24.2,24.0,25.6,43.9,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:12:45,6.8,24.2,24.0,25.6,43.9,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:13:14,6.8,24.2,24.0,25.6,43.9,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:13:44,6.8,24.2,23.9,25.6,43.9,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:14:13,6.8,24.2,23.9,25.6,43.9,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:14:43,6.8,24.2,23.9,25.6,43.9,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:15:11,6.8,24.2,23.9,25.6,43.8,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:15:41,6.8,24.2,23.9,25.6,43.8,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:16:10,6.8,24.1,23.9,25.6,43.8,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:16:40,6.8,24.1,23.9,25.6,43.8,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:17:08,6.8,24.1,23.9,25.6,43.8,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:17:38,6.8,24.1,23.9,25.6,43.8,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:18:06,6.8,24.1,23.9,25.6,43.8,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:18:36,6.8,24.1,23.9,25.6,43.8,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:19:06,6.8,24.1,23.8,25.6,43.8,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:19:36,6.8,24.1,23.8,25.6,43.8,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:20:04,6.8,24.1,23.8,25.6,43.8,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:20:34,6.8,24.1,23.8,25.6,43.7,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:21:03,6.8,24.1,23.8,25.6,43.7,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:21:33,6.8,24.1,23.8,25.6,43.7,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:22:03,6.8,24.0,23.8,25.6,43.7,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:22:33,6.8,24.0,23.8,25.6,43.7,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:23:01,6.8,24.0,23.8,25.6,43.7,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:23:31,6.8,24.0,23.8,25.6,43.7,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:24:00,6.8,24.0,23.8,25.6,43.7,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:24:30,6.8,24.0,23.8,25.6,43.7,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:25:00,6.8,24.0,23.7,25.6,43.7,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:25:29,6.8,24.0,23.7,25.6,43.7,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:25:59,6.8,24.0,23.7,25.6,43.7,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:26:29,6.8,24.0,23.7,25.6,43.6,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:26:59,6.8,24.0,23.7,25.6,43.6,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:27:26,6.8,24.0,23.7,25.6,43.6,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:27:56,6.8,23.9,23.7,25.6,43.6,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:28:24,6.8,23.9,23.7,25.6,43.6,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:28:54,6.8,23.9,23.7,25.6,43.6,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:29:21,6.8,23.9,23.7,25.6,43.6,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:29:51,6.8,23.9,23.7,25.6,43.6,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:30:21,6.8,23.9,23.6,25.6,43.6,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:30:51,6.8,23.9,23.6,25.6,43.6,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:31:21,6.8,23.9,23.6,25.6,43.6,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:31:51,6.8,23.9,23.6,25.6,43.6,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:32:19,6.8,23.9,23.6,25.7,43.6,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
2025/01/26 00:32:49,6.8,23.9,23.6,25.7,43.5,10.0,0,0,0,1,0,0,0,1774,0,0,0,0,0,0
